Latitude,Longitude,Shop
45.58151098,-73.54253974,Tim Hortons
45.447522,-73.470534,Tim Hortons
45.52570606,-73.55160799,Tim Hortons
45.5805715,-73.53171945,Tim Hortons
45.53487463,-73.59564185,Tim Hortons
45.57554764,-73.58429074,Tim Hortons
45.57599423,-73.54697156,Tim Hortons
45.544016,-73.580911,Tim Hortons
45.56504611,-73.52380076,Tim Hortons
45.49368332,-73.47883701,Tim Hortons
45.519921,-73.586427,Tim Hortons
45.52947,-73.62270619,Tim Hortons
45.450171,-73.443736,Tim Hortons
45.46211326,-73.62380941,Tim Hortons
45.5637484,-73.60920206,Tim Hortons
45.50046034,-73.37482876,Tim Hortons
45.47053475,-73.61013927,Tim Hortons
45.484423,-73.631326,Tim Hortons
45.43208,-73.631471,Tim Hortons
45.49463016,-73.65444504,Tim Hortons
45.60813111,-73.61529473,Tim Hortons
45.59043158,-73.64752714,Tim Hortons
45.40627163,-73.49830914,Tim Hortons
45.60239642,-73.57533216,Tim Hortons
45.626326,-73.597972,Tim Hortons
45.63890272,-73.53686274,Tim Hortons
45.60445847,-73.65083856,Tim Hortons
45.59236376,-73.58019214,Tim Hortons
45.37111848,-73.50696914,Tim Hortons
45.53642023,-73.69993697,Tim Hortons
45.49244414,-73.70945419,Tim Hortons
45.61190604,-73.58193576,Tim Hortons
45.52053627,-73.70385087,Tim Hortons
45.69089615,-73.49671977,Tim Hortons
45.48857559,-73.68878902,Tim Hortons
45.47769088,-73.70276826,Tim Hortons
45.51257268,-73.73113821,Tim Hortons
45.499489,-73.487661,Tim Hortons
45.47313001,-73.44002655,Tim Hortons
45.39159421,-73.57756935,Tim Hortons
45.397955,-73.623907,Tim Hortons
45.546167,-73.634805,Tim Hortons
45.53238,-73.707967,Tim Hortons
45.35202,-73.29422593,Tim Hortons
46.045009,-73.70976747,Tim Hortons
46.03562389,-73.70174891,Tim Hortons
46.16752498,-73.43960229,Tim Hortons
45.96343091,-73.70980642,Tim Hortons
46.05631842,-73.41960239,Tim Hortons
46.03612258,-73.44220005,Tim Hortons
46.01053069,-73.43220747,Tim Hortons
46.03610732,-73.44255209,Tim Hortons
45.99565167,-73.45820236,Tim Hortons
45.86344509,-73.75684322,Tim Hortons
45.9461329,-74.12572933,Tim Hortons
46.08785419,-73.19524169,Tim Hortons
46.06468702,-74.30222393,Tim Hortons
46.02702049,-74.21627285,Tim Hortons
45.89008283,-74.14855341,Tim Hortons
45.56959733,-73.69108562,Tim Hortons
45.557046,-73.74905,Tim Hortons
45.62935678,-73.75326842,Tim Hortons
45.59027488,-73.78687708,Tim Hortons
45.52812985,-73.78261189,Tim Hortons
45.55909797,-73.78106447,Tim Hortons
45.52851,-73.757267,Tim Hortons
45.56286208,-73.73238087,Tim Hortons
45.584354,-73.75016,Tim Hortons
45.55440359,-73.81130087,Tim Hortons
45.56045915,-73.7915458,Tim Hortons
45.73054445,-73.67551202,Tim Hortons
45.70048571,-73.647828,Tim Hortons
45.50625667,-73.82009983,Tim Hortons
45.4891825,-73.8024257,Tim Hortons
45.459696,-73.73817052,Tim Hortons
45.57660276,-73.87518704,Tim Hortons
45.59738257,-73.56250893,Tim Hortons
45.71324413,-73.51143122,Tim Hortons
45.740993,-73.585729,Tim Hortons
45.45837907,-73.74713541,Tim Hortons
45.44623,-73.740681,Tim Hortons
45.367624,-73.7111783,Tim Hortons
45.366074,-73.7203,Tim Hortons
45.3596427,-73.72308687,Tim Hortons
45.46800439,-73.82928712,Tim Hortons
45.34607211,-73.72264758,Tim Hortons
45.56535725,-73.74241065,Tim Hortons
45.46151,-73.81868696,Tim Hortons
45.49117133,-73.85365427,Tim Hortons
45.47024369,-73.83267403,Tim Hortons
45.43324399,-73.84812355,Tim Hortons
45.53732299,-73.61542165,Tim Hortons
45.51896,-73.555724,Tim Hortons
45.50292561,-73.56679201,Tim Hortons
45.50030123,-73.56590152,Tim Hortons
45.49830539,-73.62776029,Tim Hortons
45.54556034,-73.54441166,Tim Hortons
45.542147,-73.640435,Tim Hortons
45.54546329,-73.65351702,Tim Hortons
45.4740108,-73.6086871,Tim Hortons
45.49383374,-73.6382246,Tim Hortons
45.48548292,-73.62767788,Tim Hortons
45.02860199,-74.73412677,Tim Hortons
45.02832148,-74.75230247,Tim Hortons
45.047534,-74.770091,Tim Hortons
45.01831356,-74.709987,Tim Hortons
45.01639933,-74.72553061,Tim Hortons
45.04538901,-74.75076199,Tim Hortons
44.97717593,-74.71029275,Tim Hortons
45.02623027,-74.70531925,Tim Hortons
45.0236988,-74.74987095,Tim Hortons
45.03647515,-74.71097654,Tim Hortons
45.13278241,-74.49427212,Tim Hortons
45.017027,-74.727815,Tim Hortons
45.02793355,-74.89723152,Tim Hortons
45.19381798,-74.88257593,Tim Hortons
45.20257,-74.362655,Tim Hortons
45.21240063,-74.33850054,Tim Hortons
44.97126786,-75.08178919,Tim Hortons
45.29845074,-74.62731355,Tim Hortons
45.34060839,-74.896245,Tim Hortons
44.94450314,-75.12910435,Tim Hortons
45.244202,-74.108536,Tim Hortons
45.29976561,-75.07906437,Tim Hortons
45.30567467,-75.08103616,Tim Hortons
45.68028275,-73.76902644,Tim Hortons
45.60849807,-73.83761543,Tim Hortons
45.624326,-73.80185347,Tim Hortons
45.708467,-73.933266,Tim Hortons
45.57645548,-73.8924385,Tim Hortons
45.69539499,-73.93630847,Tim Hortons
45.566765,-73.907834,Tim Hortons
45.56227188,-73.90349649,Tim Hortons
45.765622,-73.997496,Tim Hortons
45.52992736,-73.93401771,Tim Hortons
46.550561,-75.49503,Tim Hortons
46.5505804,-75.51717345,Tim Hortons
46.378253,-75.98273277,Tim Hortons
48.5613475,-71.641792,Tim Hortons
48.535107,-71.647725,Tim Hortons
48.40888417,-71.2339137,Tim Hortons
48.39684046,-71.25297742,Tim Hortons
48.40701271,-71.21362031,Tim Hortons
48.41194457,-71.23215437,Tim Hortons
48.4515089,-71.08986054,Tim Hortons
48.40489738,-71.170367,Tim Hortons
48.51280645,-72.22384962,Tim Hortons
48.40047413,-71.10739946,Tim Hortons
45.47431971,-75.51625328,Tim Hortons
45.45839633,-75.50573933,Tim Hortons
45.46880099,-75.53815247,Tim Hortons
45.48397105,-75.47567611,Tim Hortons
45.43164785,-75.56357861,Tim Hortons
45.44783302,-75.59391975,Tim Hortons
45.44429951,-75.6360989,Tim Hortons
45.41645046,-75.60189361,Tim Hortons
45.48468678,-75.64288578,Tim Hortons
45.46101204,-75.48601975,Tim Hortons
45.4049015,-75.64349301,Tim Hortons
45.46922952,-75.49233953,Tim Hortons
45.49138625,-75.59333801,Tim Hortons
45.43330266,-75.60844131,Tim Hortons
45.40373217,-75.63490344,Tim Hortons
45.40365384,-75.70100506,Tim Hortons
45.38271,-75.63158,Tim Hortons
45.41459057,-75.64359882,Tim Hortons
45.4080476,-75.65793217,Tim Hortons
45.50415095,-75.67650463,Tim Hortons
45.40363278,-75.62692165,Tim Hortons
45.42469383,-75.69072083,Tim Hortons
45.35425631,-75.64627647,Tim Hortons
